0 -0.00039527 -0.000357668 -1.49407e-05 -0.000186304
0.025 -0.00039527 -0.000357668 -1.49407e-05 -0.000186304
0.05 -0.000788914 -0.000713983 -3.00525e-05 -0.000372018
0.075 -0.00117931 -0.0010676 -4.55066e-05 -0.000556553
0.1 -0.00156486 -0.00141718 -6.14733e-05 -0.000739328
0.125 -0.00194397 -0.00176141 -7.81227e-05 -0.000919765
0.15 -0.00231508 -0.00209898 -9.56236e-05 -0.0010973
0.175 -0.00267665 -0.00242862 -0.000114144 -0.00127138
0.2 -0.00302719 -0.00274909 -0.00013385 -0.00144147
0.225 -0.00336525 -0.00305919 -0.000154907 -0.00160705
0.25 -0.00368942 -0.00335773 -0.000177478 -0.00176761
0.275 -0.00399836 -0.00364362 -0.000201723 -0.00192267
0.3 -0.00429076 -0.00391577 -0.000227801 -0.00207179
0.325 -0.00456541 -0.00417318 -0.000255867 -0.00221452
0.35 -0.00482114 -0.00441487 -0.000286075 -0.00235047
0.375 -0.00505688 -0.00463997 -0.000318574 -0.00247927
0.4 -0.00527161 -0.00484764 -0.000353509 -0.00260057
0.425 -0.00546442 -0.00503712 -0.000391023 -0.00271407
0.45 -0.00563448 -0.00520775 -0.000431252 -0.0028195
0.475 -0.00578103 -0.00535889 -0.00047433 -0.00291661
0.5 -0.00590344 -0.00549005 -0.000520385 -0.00300522
0.525 -0.00600114 -0.00560076 -0.000569539 -0.00308515
0.55 -0.00607369 -0.00569068 -0.000621908 -0.00315629
0.575 -0.00612073 -0.00575953 -0.000677604 -0.00321857
0.6 -0.00614203 -0.00580714 -0.000736729 -0.00327193
0.625 -0.00613744 -0.00583342 -0.000799381 -0.0033164
0.65 -0.00610694 -0.00583837 -0.000865649 -0.00335201
0.675 -0.0060506 -0.00582209 -0.000935614 -0.00337885
0.7 -0.00596862 -0.00578478 -0.00100935 -0.00339707
0.725 -0.0058613 -0.00572673 -0.00108692 -0.00340682
0.75 -0.00572904 -0.00564831 -0.00116838 -0.00340835
0.775 -0.00557237 -0.00555001 -0.00125378 -0.00340189
0.8 -0.00539191 -0.00543239 -0.00134315 -0.00338777
0.825 -0.00518841 -0.00529614 -0.00143652 -0.00336633
0.85 -0.00496271 -0.00514201 -0.0015339 -0.00333795
0.875 -0.00471577 -0.00497085 -0.0016353 -0.00330307
0.9 -0.00444863 -0.0047836 -0.0017407 -0.00326215
0.925 -0.00416244 -0.00458129 -0.00185009 -0.00321569
0.95 -0.00385847 -0.00436504 -0.00196343 -0.00316424
0.975 -0.00353804 -0.00413605 -0.00208069 -0.00310837
1 -0.00320261 -0.00389558 -0.00220179 -0.00304869
1.025 -0.00285369 -0.00364501 -0.00232668 -0.00298584
