0 energy for occp = -49.8297004 m = -1 primary_state = (n, k, m, sign)0 -1 -1 1
1 energy for occp = -49.8297004 m = 1 primary_state = (n, k, m, sign)0 -1 1 1
2 energy for occp = -39.8388039 m = 1 primary_state = (n, k, m, sign)0 -2 1 1
3 energy for occp = -39.8388039 m = -1 primary_state = (n, k, m, sign)0 -2 -1 1
4 energy for occp = -39.8387815 m = -3 primary_state = (n, k, m, sign)0 -2 -3 1
5 energy for occp = -39.8387815 m = 3 primary_state = (n, k, m, sign)0 -2 3 1
6 energy for occp = -38.1346546 m = -1 primary_state = (n, k, m, sign)0 1 -1 1
7 energy for occp = -38.1346546 m = 1 primary_state = (n, k, m, sign)0 1 1 1
8 energy for occp = -28.0839218 m = 1 primary_state = (n, k, m, sign)0 -3 1 1
9 energy for occp = -28.0839218 m = -1 primary_state = (n, k, m, sign)0 -3 -1 1
10 energy for occp = -28.0839036 m = -3 primary_state = (n, k, m, sign)0 -3 -3 1
11 energy for occp = -28.0839036 m = 3 primary_state = (n, k, m, sign)0 -3 3 1
12 energy for occp = -28.0838674 m = -5 primary_state = (n, k, m, sign)0 -3 -5 1
13 energy for occp = -28.0838674 m = 5 primary_state = (n, k, m, sign)0 -3 5 1
14 energy for occp = -23.7920273 m = 1 primary_state = (n, k, m, sign)0 2 1 1
15 energy for occp = -23.7920273 m = -1 primary_state = (n, k, m, sign)0 2 -1 1
16 energy for occp = -23.7919705 m = 3 primary_state = (n, k, m, sign)0 2 3 1
17 energy for occp = -23.7919705 m = -3 primary_state = (n, k, m, sign)0 2 -3 1
18 energy for occp = -19.0323533 m = -1 primary_state = (n, k, m, sign)1 -1 -1 1
19 energy for occp = -19.0323533 m = 1 primary_state = (n, k, m, sign)1 -1 1 1
20 energy for occp = -15.6265927 m = -1 primary_state = (n, k, m, sign)0 -4 -1 1
21 energy for occp = -15.6265927 m = 1 primary_state = (n, k, m, sign)0 -4 1 1
22 energy for occp = -15.6265788 m = -3 primary_state = (n, k, m, sign)0 -4 -3 1
23 energy for occp = -15.6265788 m = 3 primary_state = (n, k, m, sign)0 -4 3 1
24 energy for occp = -15.6265511 m = 5 primary_state = (n, k, m, sign)0 -4 5 1
25 energy for occp = -15.6265511 m = -5 primary_state = (n, k, m, sign)0 -4 -5 1
26 energy for occp = -15.6265095 m = -7 primary_state = (n, k, m, sign)0 -4 -7 1
