18 energy for occn = -34.9388254 m = 1 primary_state = (n, k, m, sign)1 -1 1 1
19 energy for occn = -34.9388254 m = -1 primary_state = (n, k, m, sign)1 -1 -1 1
20 energy for occn = -30.77878 m = 1 primary_state = (n, k, m, sign)0 -4 1 1
21 energy for occn = -30.77878 m = -1 primary_state = (n, k, m, sign)0 -4 -1 1
22 energy for occn = -30.77878 m = -3 primary_state = (n, k, m, sign)0 -4 -3 1
23 energy for occn = -30.77878 m = 7 primary_state = (n, k, m, sign)0 -4 7 1
24 energy for occn = -30.77878 m = -7 primary_state = (n, k, m, sign)0 -4 -7 1
25 energy for occn = -30.77878 m = 5 primary_state = (n, k, m, sign)0 -4 5 1
26 energy for occn = -30.77878 m = -5 primary_state = (n, k, m, sign)0 -4 -5 1
27 energy for occn = -30.77878 m = 3 primary_state = (n, k, m, sign)0 -4 3 1
28 energy for occn = -26.8222082 m = -3 primary_state = (n, k, m, sign)0 3 -3 1
29 energy for occn = -26.8222082 m = -1 primary_state = (n, k, m, sign)0 3 -1 1
30 energy for occn = -26.8222082 m = 5 primary_state = (n, k, m, sign)0 3 5 1
31 energy for occn = -26.8222082 m = -5 primary_state = (n, k, m, sign)0 3 -5 1
32 energy for occn = -26.8222082 m = 3 primary_state = (n, k, m, sign)0 3 3 1
33 energy for occn = -26.8222082 m = 1 primary_state = (n, k, m, sign)0 3 1 1
34 energy for occn = -22.6052457 m = 3 primary_state = (n, k, m, sign)1 -2 3 1
35 energy for occn = -22.6052457 m = 1 primary_state = (n, k, m, sign)1 -2 1 1
36 energy for occn = -22.6052457 m = -3 primary_state = (n, k, m, sign)1 -2 -3 1
37 energy for occn = -22.6052457 m = -1 primary_state = (n, k, m, sign)1 -2 -1 1
38 energy for occn = -21.3632877 m = 1 primary_state = (n, k, m, sign)1 1 1 1
39 energy for occn = -21.3632877 m = -1 primary_state = (n, k, m, sign)1 1 -1 1
40 energy for occn = -19.9526525 m = 1 primary_state = (n, k, m, sign)0 -5 1 1
41 energy for occn = -19.9526525 m = 3 primary_state = (n, k, m, sign)0 -5 3 1
42 energy for occn = -19.9526525 m = 5 primary_state = (n, k, m, sign)0 -5 5 1
43 energy for occn = -19.9526525 m = 7 primary_state = (n, k, m, sign)0 -5 7 1
44 energy for occn = -19.9526525 m = -9 primary_state = (n, k, m, sign)0 -5 -9 1
45 energy for occn = -19.9526525 m = 9 primary_state = (n, k, m, sign)0 -5 9 1
